:centre,:days,:cif-transplant,:cif-removal,:cif-death,:cif-all
Belfast,1203.0,0.5298843009,0.0916771115,0.090509909,0.7159654558
Belfast,1205.0,0.534141735,0.0916771115,0.090509909,0.7196088757
Belfast,1211.0,0.5384103715,0.0916771115,0.090509909,0.7232447849
Belfast,1217.0,0.5427078341,0.0916771115,0.090509909,0.7269039434
Belfast,1240.0,0.5469898096,0.0916771115,0.090509909,0.7305759394
Belfast,1245.0,0.5555363325,0.0916771115,0.0942355517,0.7414320702
Belfast,1253.0,0.564118692,0.0916771115,0.0942355517,0.7487479584
Belfast,1254.0,0.5684389771,0.0916771115,0.0942355517,0.7524476062
Belfast,1255.0,0.5727375317,0.0916771115,0.0979824241,0.7597295537
Belfast,1258.0,0.5770233722,0.0916771115,0.0979824241,0.7633466865
Belfast,1260.0,0.5812837476,0.0916771115,0.0979824241,0.7669506585
Belfast,1267.0,0.585544226,0.0916771115,0.0979824241,0.7705455438
Belfast,1280.0,0.5898022359,0.0916771115,0.0979824241,0.7741214873
Belfast,1282.0,0.5940679952,0.0916771115,0.0979824241,0.777700033
Belfast,1286.0,0.5940679952,0.0945905379,0.0979824241,0.7812624857
Belfast,1296.0,0.5983143095,0.0945905379,0.0979824241,0.7848087307
Belfast,1303.0,0.5983143095,0.0945905379,0.1017294381,0.7883282921
Belfast,1307.0,0.602540392,0.0945905379,0.1017294381,0.791819925
Belfast,1316.0,0.602540392,0.0975147119,0.1017294381,0.7952888276
Belfast,1320.0,0.6067600698,0.0975147119,0.1017294381,0.7988056019
Belfast,1327.0,0.6109686854,0.0975147119,0.1017294381,0.8023106546
Belfast,1335.0,0.6151826327,0.0975147119,0.1017294381,0.8058095468
Belfast,1341.0,0.6193925223,0.0975147119,0.1017294381,0.8093175614
Belfast,1347.0,0.6235996791,0.0975147119,0.1017294381,0.8128095367
Belfast,1350.0,0.6277918032,0.0975147119,0.1017294381,0.8162878375
Belfast,1354.0,0.6277918032,0.1004477389,0.1017294381,0.8197540765
Belfast,1356.0,0.6277918032,0.1033897016,0.1017294381,0.8232747019
Belfast,1361.0,0.6319826256,0.1033897016,0.1017294381,0.8267774747
Belfast,1366.0,0.6319826256,0.1063326407,0.1017294381,0.8302793281
Belfast,1370.0,0.6361418316,0.1063326407,0.1017294381,0.8338298352
Belfast,1372.0,0.6402777843,0.1063326407,0.1017294381,0.8373779225
Belfast,1396.0,0.6443827905,0.1063326407,0.1017294381,0.8409132607
Belfast,1401.0,0.6484664669,0.1063326407,0.1017294381,0.8444161657
Belfast,1406.0,0.6484664669,0.1092968444,0.1017294381,0.8478743353
Belfast,1407.0,0.6525263269,0.1092968444,0.1017294381,0.8512762725
Belfast,1413.0,0.6565902705,0.1092968444,0.1017294381,0.8546530857
Belfast,1415.0,0.6646591451,0.1092968444,0.1017294381,0.8613172367
Belfast,1422.0,0.6687432091,0.1092968444,0.1017294381,0.8647080447
Belfast,1434.0,0.6728146763,0.1092968444,0.1017294381,0.8680772479
Belfast,1447.0,0.6768564264,0.1092968444,0.1017294381,0.871405559
Belfast,1448.0,0.6768564264,0.1092968444,0.105480714,0.874694777
Belfast,1452.0,0.6808745398,0.1092968444,0.105480714,0.8780089054
Belfast,1454.0,0.6848775708,0.1122682758,0.105480714,0.8846075824
Belfast,1455.0,0.6848775708,0.1152531562,0.105480714,0.8879118163
Belfast,1458.0,0.6888634954,0.1152531562,0.105480714,0.8912091169
Belfast,1463.0,0.6888634954,0.118232118,0.105480714,0.8944663025
Belfast,1469.0,0.6888634954,0.121252263,0.105480714,0.897695197
Belfast,1473.0,0.6928436114,0.121252263,0.105480714,0.9009524381
Belfast,1481.0,0.6968495598,0.121252263,0.105480714,0.9042027626
Belfast,1485.0,0.6968495598,0.124280356,0.105480714,0.9075016742
Belfast,1492.0,0.7008714319,0.124280356,0.105480714,0.9107355783
Belfast,1499.0,0.7049090092,0.124280356,0.105480714,0.914007373
Belfast,1527.0,0.7089290829,0.124280356,0.105480714,0.9172694557
Belfast,1541.0,0.7129492881,0.124280356,0.105480714,0.9205106377
Belfast,1547.0,0.7169865278,0.124280356,0.105480714,0.9237409445
Belfast,1558.0,0.7209976277,0.124280356,0.105480714,0.9269090843
Belfast,1596.0,0.7249751118,0.124280356,0.105480714,0.9300129008
Belfast,1624.0,0.7249751118,0.124280356,0.1092247815,0.9331121166
Belfast,1626.0,0.7289384524,0.124280356,0.1092247815,0.9362514225
Belfast,1631.0,0.7329193287,0.124280356,0.1092247815,0.9393780067
Belfast,1674.0,0.7329193287,0.1274394683,0.1092247815,0.9425372776
Belfast,1767.0,0.7371781052,0.1274394683,0.1092247815,0.9457104101
Belfast,1775.0,0.7414199212,0.1274394683,0.1092247815,0.9488773253
Belfast,1776.0,0.7497747384,0.1274394683,0.1092247815,0.9549133206
Belfast,1824.0,0.7539951377,0.1274394683,0.1092247815,0.9580015649
Newcastle,0.0,0.0,0.0,0.0,0.0
Newcastle,3.0,0.0038406765,0.0,0.0,0.0038925128
Newcastle,6.0,0.007679259,0.0,0.0,0.0077835966
Newcastle,7.0,0.0115522808,0.0,0.0,0.0116922578
Newcastle,9.0,0.0134942102,0.0,0.0,0.0136519155
Newcastle,10.0,0.0154375557,0.0,0.0,0.0156117112
Newcastle,11.0,0.0173832681,0.0,0.0,0.0175738145
Newcastle,12.0,0.0193366787,0.0,0.0,0.0195405791
Newcastle,15.0,0.0212909095,0.0,0.0,0.0215080691
Newcastle,18.0,0.023246625,0.0,0.0,0.0234757231
Newcastle,21.0,0.0252001722,0.0,0.0,0.0254411008
Newcastle,22.0,0.03106332,0.0,0.0,0.0313330251
Newcastle,24.0,0.0330190713,0.0,0.0,0.0333024058
Newcastle,27.0,0.0349747087,0.0,0.0,0.0352728938
Newcastle,30.0,0.036937261,0.0,0.0,0.0372482671
Newcastle,33.0,0.0388978606,0.0,0.0,0.0392224504
Newcastle,34.0,0.0408558413,0.0,0.0,0.0411959635
Newcastle,37.0,0.0428163039,0.0,0.0,0.043170821
Newcastle,38.0,0.0467375487,0.0,0.0,0.0471306132
Newcastle,42.0,0.0487038115,0.0,0.0,0.049115601
Newcastle,43.0,0.0506727123,0.0,0.0,0.0511018761
Newcastle,47.0,0.054622321,0.0,0.0,0.0550779953
Newcastle,50.0,0.0585727999,0.0,0.0,0.0590561145
Newcastle,54.0,0.0585727999,0.0,0.0017744366,0.0610550416
Newcastle,55.0,0.0605530322,0.0,0.0017744366,0.0630521339
Newcastle,58.0,0.0664982028,0.0,0.0017744366,0.0690413038
Newcastle,62.0,0.0684978061,0.0,0.0017744366,0.0710491325
Newcastle,63.0,0.0744875924,0.0024212948,0.0017744366,0.0810543225
Newcastle,64.0,0.0764939955,0.0024212948,0.0017744366,0.0830761126
Newcastle,65.0,0.07850233,0.0024212948,0.0017744366,0.0850993396
Newcastle,66.0,0.0805214079,0.0024212948,0.0017744366,0.0871280811
Newcastle,72.0,0.082546281,0.0024212948,0.0017744366,0.0891613125
Newcastle,73.0,0.0865867751,0.0024212948,0.0017744366,0.093224398
Newcastle,77.0,0.0886194975,0.0024212948,0.0017744366,0.0952626189
Newcastle,78.0,0.0926866067,0.0024212948,0.0017744366,0.0993362952
Newcastle,79.0,0.0987878954,0.0024212948,0.0017744366,0.105453423
Newcastle,82.0,0.1008368525,0.0024212948,0.0017744366,0.1075028973
Newcastle,83.0,0.1049328777,0.0024212948,0.0017744366,0.1115980491
Newcastle,84.0,0.1069827763,0.0024212948,0.0017744366,0.1136511363
Newcastle,86.0,0.1090294424,0.0024212948,0.0035608443,0.1177472138
Newcastle,88.0,0.1110731922,0.0024212948,0.0035608443,0.1197973292
Newcastle,89.0,0.1131147977,0.0024212948,0.0035608443,0.1218452355
Newcastle,90.0,0.1151595748,0.0024212948,0.0035608443,0.1238952816
Newcastle,93.0,0.1172042157,0.0024212948,0.0053462063,0.1279932186
Newcastle,94.0,0.1192520525,0.0024212948,0.0053462063,0.1300503713
Newcastle,95.0,0.1213061139,0.0024212948,0.0053462063,0.132112369
Newcastle,100.0,0.1254127715,0.0024212948,0.0053462063,0.1362327428
Newcastle,102.0,0.1274769756,0.0024212948,0.0053462063,0.1383010891
Newcastle,103.0,0.1295408929,0.0024212948,0.0053462063,0.1403681967
Newcastle,104.0,0.1336659588,0.0024212948,0.0053462063,0.1445027812
Newcastle,106.0,0.135733111,0.0024212948,0.0053462063,0.1465754607
Newcastle,109.0,0.1378013535,0.0024212948,0.0053462063,0.1486495829
Newcastle,114.0,0.1419320873,0.0024212948,0.0053462063,0.1527894181
Newcastle,115.0,0.1439971135,0.0024212948,0.0053462063,0.1548638878
Newcastle,118.0,0.1501771741,0.0024212948,0.0053462063,0.1610873607
Newcastle,121.0,0.1522542213,0.0024212948,0.0053462063,0.1631747485
Newcastle,127.0,0.1543327419,0.0024212948,0.0053462063,0.1652638029
Newcastle,129.0,0.1564157496,0.0024212948,0.0053462063,0.1673593234
Newcastle,132.0,0.158497489,0.0036350499,0.0053462063,0.1715447402
Newcastle,136.0,0.1626617006,0.0036350499,0.0071326466,0.177819148
Newcastle,137.0,0.1647514122,0.0036350499,0.0071326466,0.1799165443
Newcastle,138.0,0.1668398128,0.0036350499,0.0071326466,0.1820125692
Newcastle,140.0,0.1710098736,0.0036350499,0.0071326466,0.1861961522
Newcastle,146.0,0.175176716,0.0036350499,0.0071326466,0.1903751405
Newcastle,148.0,0.1793457881,0.0036350499,0.0071326466,0.1945564911
Newcastle,149.0,0.1814354621,0.0036350499,0.0071326466,0.1966509324
Newcastle,154.0,0.1835267193,0.0036350499,0.0089248914,0.2008421508
Newcastle,155.0,0.1856148057,0.0036350499,0.0089248914,0.2029355181
Newcastle,156.0,0.1856148057,0.0048508563,0.0089248914,0.2050332278
Newcastle,163.0,0.1897980822,0.0048508563,0.0089248914,0.2092153509
Newcastle,164.0,0.1918937655,0.0048508563,0.0089248914,0.2113098413
Newcastle,168.0,0.1918937655,0.0048508563,0.0107183208,0.2134078267
Newcastle,173.0,0.1939962088,0.0048508563,0.0107183208,0.2155032436
Newcastle,176.0,0.1961017959,0.0048508563,0.0107183208,0.2175996448
Newcastle,177.0,0.198214243,0.0048508563,0.0107183208,0.2196995756
Newcastle,184.0,0.2003459243,0.0048508563,0.0107183208,0.2218134626
Newcastle,189.0,0.2003459243,0.0060714113,0.0107183208,0.2239270745
Newcastle,191.0,0.2046137916,0.0060714113,0.0107183208,0.2281599986
