rec_unit,time,tx_surv,dth_surv,rem_surv
Newcastle,137,0.849934959,0.991665376,0.991867618
Newcastle,138,0.846683985,0.991665376,0.991867618
Newcastle,140,0.843436526,0.991665376,0.991867618
Newcastle,146,0.840188099,0.991665376,0.991867618
Newcastle,148,0.836937157,0.991665376,0.991867618
Newcastle,149,0.833682996,0.991665376,0.991867618
Newcastle,154,0.830422491,0.98861094,0.991867618
Newcastle,163,0.823920376,0.98861094,0.991867618
Newcastle,164,0.820660006,0.98861094,0.991867618
Newcastle,168,0.820660006,0.985503149,0.991867618
Newcastle,173,0.8173801,0.985503149,0.991867618
Newcastle,177,0.814095402,0.985503149,0.991867618
Newcastle,189,0.814095402,0.985503149,0.988806318
Newcastle,191,0.810759806,0.985503149,0.988806318
Newcastle,193,0.807411578,0.985503149,0.988806318
Newcastle,195,0.804051795,0.985503149,0.988806318
Newcastle,197,0.804051795,0.985503149,0.985706717
Newcastle,198,0.800700737,0.985503149,0.982602416
Newcastle,200,0.797331053,0.985503149,0.982602416
Newcastle,201,0.793957575,0.985503149,0.982602416
Newcastle,203,0.790581133,0.985503149,0.982602416
Newcastle,205,0.787208209,0.985503149,0.982602416
Newcastle,208,0.783834183,0.985503149,0.982602416
Newcastle,209,0.783834183,0.982258932,0.982602416
Newcastle,215,0.780458961,0.982258932,0.982602416
Newcastle,219,0.777081831,0.982258932,0.982602416
Newcastle,222,0.770334798,0.982258932,0.982602416
Newcastle,223,0.770334798,0.982258932,0.979378389
Newcastle,225,0.770334798,0.97895298,0.979378389
Newcastle,228,0.763562462,0.97895298,0.979378389
Newcastle,232,0.756718446,0.97895298,0.979378389
Newcastle,241,0.756718446,0.97895298,0.976076771
Newcastle,254,0.75328276,0.97895298,0.976076771
Newcastle,256,0.746414781,0.97895298,0.976076771
Newcastle,257,0.742968839,0.97895298,0.976076771
Newcastle,265,0.739500667,0.97895298,0.976076771
Newcastle,266,0.736032265,0.97895298,0.976076771
Newcastle,270,0.732554225,0.97895298,0.976076771
Newcastle,277,0.729088421,0.97895298,0.976076771
Newcastle,282,0.725616401,0.97895298,0.976076771
Newcastle,285,0.722144469,0.97895298,0.976076771
Newcastle,295,0.718665968,0.97895298,0.97259873
Newcastle,303,0.718665968,0.97895298,0.96908826
Newcastle,304,0.715144221,0.97895298,0.96908826
Newcastle,305,0.711632852,0.97895298,0.96908826
Newcastle,307,0.708102388,0.97895298,0.96908826
Newcastle,313,0.708102388,0.975407816,0.96908826
Newcastle,314,0.704559099,0.975407816,0.96908826
Newcastle,318,0.701009171,0.975407816,0.96908826
Newcastle,322,0.697464166,0.975407816,0.96908826
Newcastle,326,0.69392994,0.975407816,0.96908826
Newcastle,330,0.690394137,0.975407816,0.96908826
Newcastle,334,0.686854577,0.975407816,0.965454654
Newcastle,336,0.683320487,0.975407816,0.965454654
Newcastle,337,0.679793774,0.975407816,0.965454654
Newcastle,340,0.676267916,0.975407816,0.965454654
Newcastle,341,0.669213013,0.975407816,0.965454654
Newcastle,343,0.665667562,0.975407816,0.965454654
Newcastle,363,0.662119261,0.97164185,0.965454654
Newcastle,364,0.658567913,0.97164185,0.965454654
Newcastle,367,0.658567913,0.967852989,0.965454654
Newcastle,370,0.655004023,0.967852989,0.965454654
Newcastle,373,0.647899747,0.967852989,0.965454654
Newcastle,377,0.644341858,0.967852989,0.965454654
Newcastle,380,0.637260978,0.967852989,0.965454654
Newcastle,383,0.637260978,0.963988319,0.965454654
Newcastle,386,0.630129519,0.960101435,0.965454654
Newcastle,387,0.622884533,0.960101435,0.965454654
Newcastle,389,0.61923863,0.960101435,0.965454654
Newcastle,397,0.611936728,0.960101435,0.965454654
Newcastle,400,0.608276556,0.960101435,0.965454654
Newcastle,403,0.604616869,0.960101435,0.965454654
Newcastle,405,0.600936755,0.960101435,0.965454654
Newcastle,407,0.597269392,0.960101435,0.965454654
Newcastle,408,0.593612925,0.960101435,0.965454654
Newcastle,410,0.589948064,0.960101435,0.965454654
Newcastle,413,0.586272778,0.960101435,0.965454654
Newcastle,414,0.582597615,0.960101435,0.965454654
Newcastle,419,0.578930289,0.960101435,0.965454654
Newcastle,421,0.575265978,0.960101435,0.965454654
Newcastle,422,0.571592474,0.960101435,0.965454654
Newcastle,431,0.567931884,0.960101435,0.965454654
Newcastle,433,0.564245247,0.960101435,0.965454654
Newcastle,441,0.560557346,0.960101435,0.965454654
Newcastle,442,0.556856591,0.960101435,0.965454654
Newcastle,443,0.553159351,0.960101435,0.965454654
Newcastle,452,0.54946845,0.960101435,0.965454654
Newcastle,463,0.54946845,0.960101435,0.961165896
Newcastle,464,0.545770425,0.960101435,0.961165896
Newcastle,465,0.542086572,0.960101435,0.961165896
Newcastle,469,0.538420151,0.960101435,0.961165896
Newcastle,471,0.534773718,0.960101435,0.961165896
Newcastle,477,0.531140351,0.960101435,0.961165896
Newcastle,479,0.52749404,0.960101435,0.961165896
Newcastle,480,0.52749404,0.960101435,0.956589613
Newcastle,484,0.523842933,0.960101435,0.956589613
Newcastle,488,0.520201445,0.960101435,0.956589613
Newcastle,497,0.516565231,0.960101435,0.956589613
Newcastle,498,0.512931746,0.960101435,0.956589613
Newcastle,501,0.509284622,0.960101435,0.956589613
Newcastle,502,0.509284622,0.955445382,0.956589613
Newcastle,506,0.509284622,0.955445382,0.951784021
Newcastle,516,0.505620296,0.955445382,0.951784021
Newcastle,521,0.501949196,0.955445382,0.951784021
Newcastle,522,0.498292201,0.955445382,0.951784021
Newcastle,523,0.494636805,0.955445382,0.951784021
Newcastle,526,0.490977136,0.955445382,0.951784021
Newcastle,532,0.490977136,0.950643098,0.951784021
Newcastle,542,0.490977136,0.945795459,0.951784021
Newcastle,547,0.48727205,0.945795459,0.951784021
Newcastle,548,0.483535921,0.945795459,0.951784021
Newcastle,550,0.479784832,0.945795459,0.951784021
Newcastle,551,0.479784832,0.940827548,0.951784021
Newcastle,554,0.47599913,0.940827548,0.951784021
Newcastle,560,0.472223922,0.940827548,0.951784021
Newcastle,565,0.46844526,0.940827548,0.951784021
Newcastle,567,0.464680206,0.940827548,0.951784021
Newcastle,568,0.464680206,0.935746961,0.951784021
Newcastle,577,0.460902678,0.935746961,0.951784021
Newcastle,579,0.460902678,0.930613774,0.951784021
Newcastle,582,0.45712062,0.930613774,0.951784021
Newcastle,589,0.453345033,0.930613774,0.951784021
Newcastle,599,0.449551573,0.930613774,0.951784021
Newcastle,601,0.445729191,0.930613774,0.951784021
Newcastle,603,0.441884955,0.930613774,0.951784021
Newcastle,606,0.438043912,0.930613774,0.945984882
Newcastle,607,0.434190566,0.930613774,0.945984882
Newcastle,616,0.43031465,0.930613774,0.945984882
Newcastle,618,0.426449933,0.925189714,0.945984882
Newcastle,637,0.422571434,0.925189714,0.945984882
Newcastle,640,0.418701083,0.925189714,0.945984882
Newcastle,646,0.414840516,0.925189714,0.945984882
Newcastle,647,0.410995143,0.925189714,0.945984882
