:centre,:days,:cif-from-listing
Newcastle,294.0,0.6792890883733715
Newcastle,296.0,0.6771862426637185
Newcastle,305.0,0.6750799126125204
Newcastle,306.0,0.6729755637659972
Newcastle,317.0,0.6708732213854763
Newcastle,320.0,0.6687744359892539
Newcastle,322.0,0.6666793895664321
Newcastle,326.0,0.6645774482031283
Newcastle,330.0,0.662479315706272
Newcastle,332.0,0.6603821727018987
Newcastle,334.0,0.6582861649037355
Newcastle,336.0,0.6561925130520508
Newcastle,343.0,0.6520193460394461
Newcastle,360.0,0.6499337458357277
Newcastle,362.0,0.647850309118596
Newcastle,369.0,0.6457691946914788
Newcastle,373.0,0.6436904065707625
Newcastle,384.0,0.6416081166699732
Newcastle,387.0,0.6395281626114067
Newcastle,391.0,0.6353795028107435
Newcastle,408.0,0.6333056468269234
Newcastle,409.0,0.6312282723135221
Newcastle,411.0,0.6291532590937418
Newcastle,413.0,0.6270799840979429
Newcastle,430.0,0.6250088601772215
Newcastle,431.0,0.6229394282188808
Newcastle,432.0,0.620872326288529
Newcastle,437.0,0.6188029289646112
Newcastle,439.0,0.6167353097150408
Newcastle,443.0,0.6146555238866871
Newcastle,447.0,0.6125775786374147
Newcastle,450.0,0.6105016548133546
Newcastle,462.0,0.6084227658974496
Newcastle,465.0,0.6063464313114049
Newcastle,468.0,0.6042715029815298
Newcastle,475.0,0.6021927790785634
Newcastle,489.0,0.6001066108884167
Newcastle,490.0,0.598022679088246
Newcastle,492.0,0.5959413925125838
Newcastle,494.0,0.593864213725375
Newcastle,502.0,0.591779151346192
Newcastle,507.0,0.5896928109187713
Newcastle,513.0,0.5876109357445668
Newcastle,518.0,0.5855238531652998
Newcastle,524.0,0.5834323157294488
Newcastle,525.0,0.5813417065926696
Newcastle,526.0,0.5792551584787368
Newcastle,533.0,0.5771656225010473
Newcastle,534.0,0.5750780749477019
Newcastle,535.0,0.5729928846640187
Newcastle,541.0,0.570910424549236
Newcastle,549.0,0.5667474285010441
Newcastle,553.0,0.564667537038418
Newcastle,556.0,0.5625898794417503
Newcastle,558.0,0.5584515587140565
Newcastle,560.0,0.5563842509505195
Newcastle,585.0,0.5543089500879523
Newcastle,589.0,0.5522342203309456
Newcastle,590.0,0.548095492347056
Newcastle,596.0,0.5460155814680857
Newcastle,602.0,0.541866674814438
Newcastle,604.0,0.5397930084953285
Newcastle,606.0,0.5377238951422744
Newcastle,623.0,0.535637408164239
Newcastle,624.0,0.5335518974073474
Newcastle,641.0,0.5314611315767628
Newcastle,647.0,0.5293691222972753
Newcastle,656.0,0.5272735453293826
Newcastle,665.0,0.5251688464271642
Newcastle,672.0,0.5230690199629616
Newcastle,682.0,0.5209472557473334
Newcastle,683.0,0.5167190977959245
Newcastle,694.0,0.5145994875283506
Newcastle,697.0,0.512484792182565
Newcastle,706.0,0.510360233487851
Newcastle,709.0,0.5082385309873313
Newcastle,727.0,0.5061094208800054
Newcastle,734.0,0.503972112809678
Newcastle,770.0,0.5017817216605904
Newcastle,777.0,0.4995890810543475
Newcastle,778.0,0.49739944596908375
Newcastle,791.0,0.4951865265521637
Newcastle,811.0,0.49294319333823006
Newcastle,818.0,0.49069209537933267
Newcastle,826.0,0.4884398830752378
Newcastle,828.0,0.4861761097884003
Newcastle,831.0,0.4839010494835675
Newcastle,846.0,0.4816156953546942
Newcastle,855.0,0.47932831102707196
Newcastle,865.0,0.47701402764172707
Newcastle,890.0,0.474630705690291
Newcastle,894.0,0.47225153865713904
Newcastle,916.0,0.4698440102378425
Newcastle,954.0,0.46738411776522437
Newcastle,980.0,0.46489544347080375
Newcastle,1039.0,0.46232561238031417
Newcastle,1077.0,0.45971478542093336
Newcastle,1081.0,0.4571097074003076
Newcastle,1087.0,0.4545105479383047
Newcastle,1088.0,0.45191499902210014
Newcastle,1092.0,0.44932246922725755
Newcastle,1097.0,0.44672434918306664
Newcastle,1110.0,0.44410891807577496
Newcastle,1120.0,0.4414824349602654
Newcastle,1122.0,0.4388591981191743
Newcastle,1144.0,0.4362143835694637
Newcastle,1151.0,0.4335721239143245
Newcastle,1167.0,0.4309112198766639
Newcastle,1168.0,0.42825923269667276
Newcastle,1191.0,0.42557483994631495
Newcastle,1212.0,0.4228692485471186
Newcastle,1223.0,0.4201683285234329
Newcastle,1233.0,0.4174769373826839
Newcastle,1274.0,0.41473882815762575
Newcastle,1299.0,0.411989900026679
Newcastle,1315.0,0.40922432033931944
Newcastle,1321.0,0.4064645543988436
Newcastle,1329.0,0.4036991313347952
Newcastle,1333.0,0.4009392003281573
Newcastle,1342.0,0.39817484343254395
Newcastle,1378.0,0.39535056166926064
Newcastle,1403.0,0.39251128194135787
Newcastle,1417.0,0.38965141388233104
Newcastle,1441.0,0.3867271198758058
Newcastle,1456.0,0.3808624772267062
Newcastle,1481.0,0.3779135557204778
Newcastle,1501.0,0.37494730049463587
Newcastle,1519.0,0.3719473253483695
Newcastle,1556.0,0.368902146004208
Newcastle,1608.0,0.3657312668149949
Newcastle,1615.0,0.3625765980536018
Newcastle,1642.0,0.359398584871678
Newcastle,1645.0,0.3530858412607474
Newcastle,1679.0,0.349898636528125
Newcastle,1686.0,0.3467278319960583
Newcastle,1692.0,0.34357430222703494
Newcastle,1717.0,0.34043819399857345
Newcastle,1758.0,0.3373124445556832
Newcastle,1787.0,0.3341717453517993
Newcastle,1796.0,0.33102097958025206
Newcastle,1798.0,0.3278868065486739
Newcastle,1802.0,0.3247453498951649
Newcastle,1825.0,0.3247453498951649
Papworth,0.0,1.0
Papworth,3.0,0.9965563910883989
Papworth,6.0,0.993108546476744
Papworth,12.0,0.9896634238189537
Papworth,17.0,0.9862100851222146
Papworth,22.0,0.9793214444189796
Papworth,23.0,0.97586388203522
Papworth,25.0,0.9724133430895551
Papworth,39.0,0.9689599187144673
Papworth,42.0,0.9655020087198367
Papworth,43.0,0.9620375793839422
Papworth,48.0,0.9585671874220665
Papworth,50.0,0.9516494837008439
Papworth,56.0,0.9481598791007007
Papworth,61.0,0.9411994119236493
Papworth,63.0,0.934232342679628
Papworth,69.0,0.9307318772776852
Papworth,76.0,0.9272355011841923
Papworth,82.0,0.9237428996279349
Papworth,84.0,0.9202535629349805
Papworth,86.0,0.9167592971877032
Papworth,88.0,0.9132672599346092
Papworth,89.0,0.9097800877779122
Papworth,94.0,0.9062890951869272
Papworth,99.0,0.9028001309626061
